sequence,color_space,umap_components,original_feature_dim,umap_applied,crop_center_ratio,crop_method,experiment_stage,positive_label,negative_label,true_positive,false_positive,true_negative,false_negative,accuracy,num_samples
F_20200220_1_0660_0690,rgb,864,864,False,0.6,center,ratio_sweep,1,0,91,48,117,74,0.6303030303030303,330
F_20200220_1_0660_0690,h,800,800,False,0.6,center,ratio_sweep,1,0,91,48,117,74,0.6303030303030303,330
F_20200220_1_0690_0720,rgb,864,864,False,0.6,center,ratio_sweep,1,0,105,49,116,60,0.6696969696969697,330
F_20200220_1_0690_0720,h,800,800,False,0.6,center,ratio_sweep,1,0,105,49,116,60,0.6696969696969697,330
F_20200220_1_0720_0750,rgb,864,864,False,0.6,center,ratio_sweep,1,0,50,32,133,115,0.5545454545454546,330
F_20200220_1_0720_0750,h,800,800,False,0.6,center,ratio_sweep,1,0,50,32,133,115,0.5545454545454546,330
F_20200220_1_0750_0780,h,800,800,False,0.6,center,ratio_sweep,1,0,105,81,84,60,0.5727272727272728,330
F_20200220_1_0750_0780,rgb,864,864,False,0.6,center,ratio_sweep,1,0,105,81,84,60,0.5727272727272728,330
F_20200220_1_0780_0810,h,800,800,False,0.6,center,ratio_sweep,1,0,118,81,84,47,0.6121212121212121,330
F_20200220_1_0780_0810,rgb,864,864,False,0.6,center,ratio_sweep,1,0,117,81,84,48,0.6090909090909091,330
F_20200220_1_0810_0840,h,800,800,False,0.6,center,ratio_sweep,1,0,99,76,89,66,0.5696969696969697,330
F_20200220_1_0810_0840,rgb,864,864,False,0.6,center,ratio_sweep,1,0,99,76,89,66,0.5696969696969697,330
F_20200220_1_0840_0870,rgb,864,864,False,0.6,center,ratio_sweep,1,0,113,77,88,52,0.6090909090909091,330
F_20200220_1_0840_0870,h,800,800,False,0.6,center,ratio_sweep,1,0,113,77,88,52,0.6090909090909091,330
F_20200220_1_0870_0900,rgb,864,864,False,0.6,center,ratio_sweep,1,0,114,110,55,51,0.5121212121212121,330
F_20200220_1_0870_0900,h,800,800,False,0.6,center,ratio_sweep,1,0,114,110,55,51,0.5121212121212121,330
F_20200220_1_0000_0030,rgb,864,864,False,0.8,center,ratio_sweep,1,0,78,62,103,86,0.5501519756838906,329
F_20200220_1_0000_0030,h,800,800,False,0.8,center,ratio_sweep,1,0,78,62,103,86,0.5501519756838906,329
F_20200220_1_0030_0060,h,800,800,False,0.8,center,ratio_sweep,1,0,98,87,78,67,0.5333333333333333,330
F_20200220_1_0030_0060,rgb,864,864,False,0.8,center,ratio_sweep,1,0,98,87,78,67,0.5333333333333333,330
F_20200220_1_0060_0090,rgb,864,864,False,0.8,center,ratio_sweep,1,0,116,106,59,49,0.5303030303030303,330
